edge_idx,source,source_role,relationship,edge_rank,target,target_role,year,url
1157,Joe Rogan,podcast,interviewed,3,James Fox,producer,0,
1158,Joe Rogan,podcast,interviewed,3,Jeremy Corbell,author,0,
1159,Joe Rogan,podcast,interviewed,3,Jesse Michels,podcast,0,
1145,Jesse Michels,podcast,interviewed,3,Karl Nell,military,0,
1160,Joe Rogan,podcast,interviewed,3,Lue Elizondo,whistleblower,0,
1266,Shawn Ryan,podcast,interviewed,3,Michael Herrera,whistleblower,0,
1161,Joe Rogan,podcast,interviewed,3,Neil D Tyson,scientist,0,
1146,Jesse Michels,podcast,interviewed,3,Randy Anderson,tbd,0,
1162,Joe Rogan,podcast,interviewed,3,Robert Bigelow,entrepreneur,0,
1313,Tim Ventura,podcast,interviewed,3,Robert Salas,military,2023,
1163,Joe Rogan,podcast,interviewed,3,Ryan Graves,whistleblower,0,
1314,Tim Ventura,podcast,interviewed,3,Ryan Graves,whistleblower,2023,
1164,Joe Rogan,podcast,interviewed,3,Shawn Ryan,podcast,0,
1165,Joe Rogan,podcast,interviewed,3,Steven Greer,author,0,
1267,Shawn Ryan,podcast,interviewed,3,Steven Greer,author,0,
1268,Shawn Ryan,podcast,interviewed,3,Tim Burchett,government,0,
1269,Shawn Ryan,podcast,interviewed,3,Tim Gallaudet,military,0,
1166,Joe Rogan,podcast,interviewed,3,Tom DeLonge,author,0,
1167,Joe Rogan,podcast,interviewed,3,Tulsi Gabbard,government,0,
1124,James Fox,producer,interviewed,3,Edgar Mitchell,astronaut,0,
1021,Blake Cousins,producer,interviewed,3,Michael Schratt,tbd,0,
1022,Blake Cousins,producer,interviewed,3,Steven Greer,author,0,
1079,Garry Nolan,scientist,interviewed,1,Christopher Mellon,whistleblower,0,
1226,Peter Skafish,scientist,interviewed,1,Jeffrey Nuccetelli,military,0,"Jeff Nuccetelli, Chaz King, Leslie Kean: Firsthand UAP Hearing Disclosures | The Sol Forum - YouTube"
1286,Stanton Friedman,scientist,interviewed,1,Jesse Marcel,military,1978,
1227,Peter Skafish,scientist,interviewed,1,Leslie Kean,author,0,"Jeff Nuccetelli, Chaz King, Leslie Kean: Firsthand UAP Hearing Disclosures | The Sol Forum - YouTube"
1254,Ryan Graves,whistleblower,interviewed,1,David Fravor,military,0,https://www.youtube.com/watch?v=KuX4GLHLRz8
1255,Ryan Graves,whistleblower,interviewed,1,Jeffrey Nuccetelli,military,0,
1190,Leslie Kean,author,mentioned,1,Allen Hynek,scientist,0,
1230,Richard Dolan,author,mentioned,1,Avi Loeb,scientist,0,
1054,Diana Pasulka,author,mentioned,1,Carl Jung,scientist,0,
1231,Richard Dolan,author,mentioned,1,Jacob Barber,military,0,
1191,Leslie Kean,author,mentioned,1,James Fox,producer,0,
1055,Diana Pasulka,author,mentioned,3,Joshua Cutchin,tbd,0,
1192,Leslie Kean,author,mentioned,3,Peter Gumpel,tbd,0,
1056,Diana Pasulka,author,mentioned,1,Philip K. Dick,author,0,
1232,Richard Dolan,author,mentioned,3,Randy Anderson,tbd,0,
1233,Richard Dolan,author,mentioned,1,Ross Coulthart,author,0,
1193,Leslie Kean,author,mentioned,3,Steven J. Dick,tbd,0,
1194,Leslie Kean,author,mentioned,3,Stewart Alexander,tbd,0,
1195,Leslie Kean,author,mentioned,1,Whitley Strieber,author,0,
1169,John Brennan,government,mentioned,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1048,David Grusch,military,mentioned,1,Project Magenta,government,0,
1078,Garry Nolan,scientist,mentioned,1,Richard Dolan,author,0,
1034,Colm Kelleher,scientist,mentioned,1,SWR,place,,
1217,Matthew Brown,whistleblower,mentioned,1,Lue Elizondo,whistleblower,0,
1289,Steven Greer,author,mentioned_in,1,The Disclosure Project,civ org,0,
1111,Helene Cooper,author,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1017,Barack Obama,government,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1073,Fife Symington,government,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1099,George W. Bush,government,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1148,Jimmy Carter,government,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1173,John Podesta,government,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1025,Chad Underwood,military,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1052,David Schindele,military,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1065,Donald Keyhoe,military,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1176,Karl Nell,military,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1205,Lt. General John A. Samford,military,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1003,Allen Hynek,scientist,mentioned_in,1,The Disclosure Project,civ org,0,
1002,Allen Hynek,scientist,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1053,Derrick Pitts,tbd,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,https://www.youtube.com/watch?v=1WwGGuQljl4
1074,Frank Mannor,tbd,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1188,Lawrence J. Tacker,tbd,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,
1216,Mark Rodeghier,tbd,mentioned_in,3,UFO's: investigating the unknown (NatGeo),documentary,2025,UFO's: Investigating the Unknown MEGA EPISODE | Secret Programs and Close Encounters | Nat Geo
